codigo_cola,anio,tipo,fabricante,modelo,motores,asientos,velocidad,tipo_motor
N10156,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N102UW,1998,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N103US,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N104UW,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N10575,2002,Ala fija multimotor,EMBRAER,EMB-145LR,2,55,NA,Turboventilador
N105UW,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N107US,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N108UW,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N109UW,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N110UW,1999,Ala fija multimotor,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turboventilador
N11106,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11107,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11109,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11113,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11119,2002,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11121,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11127,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11137,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11140,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11150,2003,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11155,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11164,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11165,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11176,2004,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11181,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11184,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11187,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
N11189,2005,Ala fija multimotor,EMBRAER,EMB-145XR,2,55,NA,Turboventilador
