anio	estado_civil	edad	raza	ingreso	partido	religion	denominacion	horas_tv
2000	Nunca se ha casado	26	Blanca	8000 - 9999	Ind, pro rep	Protestante	Bautistas del sur	12
2000	Divorciado	48	Blanca	8000 - 9999	No fuertemente republicano	Protestante	Bautista, no sabe cuál	NA
2000	Viudo	67	Blanca	No aplica	Independiente	Protestante	No denominacional	2
2000	Nunca se ha casado	39	Blanca	No aplica	Ind, pro rep	Cristiana ortodoxa	No aplica	4
2000	Divorciado	25	Blanca	No aplica	No fuertemente demócrata	Ninguna	No aplica	1
2000	Casado	25	Blanca	20000 - 24999	Fuertemente demócrata	Protestante	Bautistas del sur	NA
2000	Nunca se ha casado	36	Blanca	25000 o más	No fuertemente republicano	Cristiana	No aplica	3
2000	Divorciado	44	Blanca	7000 - 7999	Ind, pro dem	Protestante	Sínodo luterano	NA
2000	Casado	44	Blanca	25000 o más	No fuertemente demócrata	Protestante	Otra	0
2000	Casado	47	Blanca	25000 o más	Fuertemente republicano	Protestante	Bautistas del sur	3
2000	Casado	53	Blanca	25000 o más	No fuertemente demócrata	Protestante	Otra	2
2000	Casado	52	Blanca	25000 o más	Ind, pro rep	Ninguna	No aplica	NA
2000	Casado	52	Blanca	25000 o más	Fuertemente demócrata	Protestante	Bautistas del sur	1
2000	Casado	51	Blanca	25000 o más	Fuertemente republicano	Protestante	Iglesia metodista unida	NA
2000	Divorciado	52	Blanca	25000 o más	Ind, pro dem	Ninguna	No aplica	1
2000	Casado	40	Negra	25000 o más	Fuertemente demócrata	Protestante	Bautista, no sabe cuál	7
2000	Viudo	77	Blanca	No aplica	Fuertemente republicano	Judía	No aplica	NA
2000	Nunca se ha casado	44	Blanca	25000 o más	Independiente	Ninguna	No aplica	3
2000	Casado	40	Blanca	10000 - 14999	No fuertemente demócrata	Católica	No aplica	3
2000	Casado	45	Negra	No aplica	Independiente	Protestante	Iglesia metodista unida	NA
2000	Casado	48	Blanca	25000 o más	Ind, pro dem	Católica	No aplica	1
2000	Casado	49	Blanca	Se niega a responder	Fuertemente republicano	Protestante	Iglesia metodista unida	2
2000	Nunca se ha casado	19	Blanca	No aplica	Independiente	Ninguna	No aplica	2
2000	Viudo	54	Blanca	25000 o más	Ind, pro rep	Cristiana	No aplica	1
2000	Viudo	82	Blanca	No aplica	No fuertemente demócrata	Protestante	Otra	3
